Product_Type,Brand,Build_Quality,User_Lifespan,Usage_Pattern,Expiry_Years,Condition,Original_Price,Used_Duration,Current_Price
Smartwatch,Boat,5,2.8,Light,3.8,2,10102,7,500.0
Washing Machine,IFB,2,8.9,Moderate,9.200000000000001,4,47248,6,13968.97
Refrigerator,LG,5,11.7,Heavy,12.399999999999999,3,76996,8,19124.81
Refrigerator,Whirlpool,5,8.1,Heavy,8.799999999999999,4,79122,5,29041.37
TV,TCL,2,10.0,Light,10.4,2,159773,6,37177.95
Refrigerator,Whirlpool,1,13.9,Heavy,13.799999999999999,2,68440,3,29458.96
Smartwatch,Noise,5,4.3,Heavy,5.0,4,3958,1,2691.44
Tablet,Samsung,1,5.3,Moderate,5.4,3,73771,5,3825.16
Tablet,Lenovo,1,3.5,Heavy,3.4000000000000004,3,77067,6,500.0
Smartwatch,Boat,5,4.9,Heavy,5.6000000000000005,1,10641,5,500.0
Washing Machine,Bosch,1,13.8,Moderate,13.9,3,55960,3,30717.61
Smartphone,OnePlus,5,3.3,Heavy,4.0,1,81620,5,500.0
Tablet,Apple,1,4.6,Heavy,4.5,4,61207,1,40464.63
Tablet,Apple,2,4.5,Moderate,4.800000000000001,5,53447,10,500.0
TV,TCL,1,8.4,Light,8.6,4,143583,8,8514.81
Tablet,Samsung,5,4.5,Light,5.5,1,26114,5,949.6
Smartphone,Samsung,3,3.7,Moderate,4.200000000000001,4,86399,3,20982.61
Tablet,Lenovo,4,3.5,Heavy,4.0,3,55848,9,500.0
Refrigerator,Whirlpool,2,12.5,Light,12.9,4,47287,7,18383.28
Washing Machine,Bosch,4,11.2,Moderate,11.9,2,25668,9,3440.37
Washing Machine,Samsung,1,10.3,Light,10.5,3,29704,10,990.13
Tablet,Samsung,5,6.4,Heavy,7.1000000000000005,5,35260,9,500.0
TV,OnePlus,2,12.4,Heavy,12.5,2,178517,1,90329.6
Refrigerator,LG,1,10.1,Moderate,10.2,1,39769,7,4990.62
Washing Machine,Samsung,4,10.7,Heavy,11.2,5,27711,7,10391.62
Tablet,Apple,2,4.7,Moderate,5.000000000000001,3,67537,8,500.0
TV,OnePlus,1,14.7,Heavy,14.599999999999998,5,114669,7,59690.71
Smartwatch,Noise,4,2.2,Moderate,2.9,4,37105,3,500.0
Smartwatch,Noise,3,3.7,Heavy,4.000000000000001,4,41663,10,500.0
TV,TCL,3,9.8,Heavy,10.1,3,17328,5,6124.85
Washing Machine,Whirlpool,3,10.0,Moderate,10.5,5,26542,9,3791.71
Washing Machine,Whirlpool,3,14.6,Light,15.2,1,27217,10,3724.43
TV,Sony,4,8.8,Moderate,9.500000000000002,4,58731,3,34156.71
Tablet,Samsung,5,6.3,Light,7.3,3,78660,3,32433.78
Washing Machine,LG,5,13.6,Moderate,14.5,3,31022,1,20217.79
Smartphone,OnePlus,2,4.5,Moderate,4.800000000000001,4,19643,5,500.0
Washing Machine,Bosch,4,11.0,Heavy,11.5,4,19525,10,2164.73
Laptop,Apple,1,5.1,Light,5.3,2,54250,5,1688.92
Smartwatch,Noise,3,3.6,Light,4.2,4,46137,10,500.0
Washing Machine,Samsung,4,12.9,Moderate,13.600000000000001,4,32354,1,25478.78
Refrigerator,Bosch,4,11.1,Moderate,11.8,5,69983,2,58121.47
Washing Machine,Bosch,2,8.2,Heavy,8.299999999999999,2,15927,7,1372.02
Smartphone,Samsung,1,4.7,Heavy,4.6000000000000005,1,57349,5,500.0
Smartphone,Xiaomi,2,2.2,Moderate,2.5,1,56351,6,500.0
Washing Machine,Whirlpool,4,8.9,Light,9.700000000000001,5,48546,10,500.0
Tablet,Huawei,1,4.3,Heavy,4.2,1,53343,7,500.0
Laptop,Dell,5,3.7,Moderate,4.6000000000000005,1,118055,4,6159.39
Smartphone,Xiaomi,1,4.7,Light,4.9,3,53681,7,500.0
Refrigerator,Whirlpool,2,10.5,Moderate,10.8,1,72106,4,18160.03
Washing Machine,Bosch,3,14.4,Heavy,14.7,1,34515,1,12866.82
Laptop,HP,4,5.0,Heavy,5.5,1,119655,3,21755.45
Refrigerator,Whirlpool,5,11.2,Light,12.2,3,74666,10,9425.05
Refrigerator,Bosch,5,13.6,Moderate,14.5,2,56078,9,11699.03
Laptop,Lenovo,2,5.7,Moderate,6.000000000000001,2,103724,4,19016.07
Tablet,Lenovo,2,6.4,Heavy,6.500000000000001,4,37099,5,7277.11
Refrigerator,Whirlpool,3,12.6,Moderate,13.1,2,59332,5,20177.41
TV,OnePlus,4,14.6,Heavy,15.1,5,180868,5,120977.93
TV,LG,4,8.3,Moderate,9.000000000000002,5,177454,9,500.0
Smartwatch,Amazfit,4,2.9,Moderate,3.6,4,6047,6,500.0
Laptop,Lenovo,5,5.6,Heavy,6.3,5,109589,2,74798.84
Refrigerator,LG,3,12.7,Heavy,12.999999999999998,5,23677,4,16391.77
Washing Machine,Samsung,2,10.3,Light,10.700000000000001,1,47032,1,17054.59
Refrigerator,Samsung,5,12.2,Heavy,12.899999999999999,2,47005,3,19840.48
Tablet,Lenovo,4,6.5,Moderate,7.2,5,11264,1,9699.56
Refrigerator,Whirlpool,2,9.5,Heavy,9.6,3,41192,6,10812.9
Tablet,Samsung,1,4.6,Light,4.8,3,78481,9,500.0
TV,Samsung,1,13.6,Heavy,13.499999999999998,4,152717,8,52885.33
Tablet,Apple,3,5.9,Moderate,6.4,1,74679,9,500.0
Washing Machine,Samsung,3,12.1,Light,12.7,1,28797,4,7890.83
Laptop,Apple,2,7.0,Moderate,7.300000000000001,1,102763,9,500.0
Tablet,Samsung,3,4.6,Heavy,4.8999999999999995,2,62487,1,27354.0
TV,OnePlus,5,14.5,Heavy,15.2,1,90969,2,31599.76
TV,Samsung,3,12.9,Heavy,13.2,3,32317,6,12339.22
TV,TCL,4,10.8,Light,11.600000000000001,1,128591,1,47002.23
Tablet,Apple,2,4.0,Light,4.4,1,68737,5,500.0
Refrigerator,Bosch,3,10.1,Heavy,10.399999999999999,3,68591,9,6463.38
Refrigerator,Bosch,5,14.9,Heavy,15.6,4,33034,3,22679.11
Smartwatch,Apple,5,2.4,Light,3.4,5,30056,5,500.0
Smartphone,Vivo,1,2.1,Moderate,2.2,1,33773,7,500.0
Tablet,Huawei,3,5.5,Moderate,6.0,5,38227,8,500.0
Tablet,Samsung,1,6.4,Moderate,6.500000000000001,1,32344,9,500.0
Laptop,HP,4,5.4,Moderate,6.1000000000000005,3,103363,5,13047.46
Smartphone,Samsung,5,3.2,Heavy,3.9000000000000004,4,37196,6,500.0
Laptop,Acer,4,6.8,Heavy,7.3,2,122858,4,30546.2
Refrigerator,Godrej,5,13.7,Light,14.7,1,59601,3,18975.01
Washing Machine,LG,2,9.2,Light,9.6,2,53682,5,14147.44
Smartwatch,Apple,2,3.1,Moderate,3.4,2,42848,1,16635.11
Laptop,Acer,1,5.2,Light,5.4,4,64580,2,34562.26
Smartphone,Apple,4,2.0,Moderate,2.6999999999999997,2,108831,10,500.0
TV,OnePlus,1,14.4,Light,14.6,1,159902,5,42056.42
Smartphone,OnePlus,3,2.8,Moderate,3.3,1,54736,4,500.0
TV,TCL,3,10.9,Moderate,11.4,4,193105,5,92148.35
Tablet,Samsung,1,4.2,Moderate,4.300000000000001,4,10647,10,500.0
Tablet,Apple,5,3.6,Light,4.6,4,12611,1,8389.06
TV,LG,1,14.6,Moderate,14.7,3,32400,6,13422.86
Smartphone,Vivo,4,4.3,Moderate,5.0,2,50223,7,500.0
Refrigerator,Godrej,5,9.1,Heavy,9.799999999999999,5,56663,3,39317.18
Washing Machine,Bosch,3,12.0,Heavy,12.299999999999999,1,26070,3,7884.59
TV,OnePlus,2,11.3,Heavy,11.4,1,196898,5,44215.69
Refrigerator,Samsung,2,12.5,Light,12.9,5,42967,1,39636.22
TV,LG,5,10.7,Moderate,11.6,3,153525,6,51880.86
Washing Machine,LG,3,8.8,Heavy,9.1,2,58405,8,3882.97
Smartphone,Samsung,4,2.3,Moderate,2.9999999999999996,3,88496,8,500.0
Smartphone,Apple,3,2.6,Moderate,3.1,2,25778,8,500.0
Washing Machine,Whirlpool,3,12.0,Light,12.6,5,18842,9,5383.43
Refrigerator,Bosch,4,10.6,Light,11.4,4,20970,2,14697.39
Refrigerator,Godrej,4,11.6,Moderate,12.3,2,65113,5,21254.37
Refrigerator,Whirlpool,3,13.2,Moderate,13.7,3,22898,9,5498.86
Washing Machine,Whirlpool,2,10.1,Moderate,10.4,2,35716,10,755.53
Refrigerator,Godrej,2,14.7,Light,15.1,3,54832,1,35840.52
Smartwatch,Boat,2,4.5,Light,4.9,5,37111,1,29537.33
Refrigerator,Whirlpool,2,12.3,Light,12.700000000000001,2,21650,9,3469.11
Refrigerator,Samsung,3,10.4,Light,11.0,3,26618,5,10163.24
Laptop,Apple,2,4.9,Light,5.300000000000001,2,95456,7,500.0
Smartphone,Apple,2,2.5,Light,2.9,3,24007,5,500.0
Refrigerator,Godrej,3,13.9,Light,14.5,3,72663,2,43848.36
Smartwatch,Samsung,3,4.6,Light,5.199999999999999,4,14931,8,500.0
Refrigerator,LG,4,14.0,Light,14.8,4,37060,5,20858.77
Laptop,Lenovo,1,3.8,Heavy,3.7,2,121337,1,48698.77
Washing Machine,Bosch,5,14.4,Heavy,15.1,4,43213,8,17270.89
TV,Samsung,1,13.8,Moderate,13.9,3,122195,8,36306.86
Laptop,Asus,3,5.4,Moderate,5.9,5,81554,3,40085.86
Washing Machine,Samsung,4,9.0,Heavy,9.5,4,50249,9,2247.98
Smartphone,Xiaomi,5,4.8,Light,5.8,1,19331,5,1066.54
Tablet,Samsung,5,6.9,Moderate,7.800000000000001,3,69285,6,11192.19
Smartwatch,Samsung,2,3.9,Moderate,4.2,3,7343,9,500.0
Laptop,Acer,3,5.5,Moderate,6.0,4,98221,5,13914.64
Refrigerator,Whirlpool,3,9.6,Heavy,9.899999999999999,5,58789,4,35035.87
Laptop,Dell,3,5.1,Heavy,5.3999999999999995,1,114653,7,500.0
TV,Samsung,5,12.9,Light,13.9,3,53670,1,34866.19
Tablet,Apple,2,3.9,Light,4.3,5,42752,10,500.0
Smartwatch,Apple,4,2.3,Moderate,2.9999999999999996,1,14304,7,500.0
Laptop,Apple,5,6.0,Moderate,6.9,2,123910,6,8889.2
TV,OnePlus,2,14.5,Light,14.9,1,57926,6,13840.04
Refrigerator,Samsung,2,10.8,Heavy,10.9,1,40900,2,13358.17
Tablet,Huawei,1,5.2,Light,5.4,1,78698,2,19820.24
Smartphone,Apple,2,2.9,Heavy,3.0,3,68816,3,500.0
Smartwatch,Noise,1,2.1,Moderate,2.2,2,35022,8,500.0
Smartwatch,Apple,4,4.5,Heavy,5.0,5,18196,10,500.0
TV,TCL,5,12.1,Heavy,12.799999999999999,1,156674,2,52877.48
Smartwatch,Boat,3,2.9,Light,3.5,5,29232,1,20880.0
Smartwatch,Amazfit,5,4.1,Heavy,4.8,1,38311,9,500.0
Smartwatch,Noise,5,3.1,Heavy,3.8,2,24178,9,500.0
Washing Machine,Whirlpool,1,12.8,Moderate,12.9,4,36076,8,11647.79
Laptop,Asus,3,7.0,Moderate,7.5,1,72956,8,500.0
Refrigerator,Bosch,1,11.7,Light,11.899999999999999,1,45557,6,9034.83
Laptop,Lenovo,5,5.4,Heavy,6.1000000000000005,4,71530,8,500.0
Tablet,Lenovo,2,6.8,Moderate,7.1000000000000005,2,75568,1,35708.54
Laptop,Lenovo,3,5.5,Heavy,5.8,2,105470,10,500.0
Refrigerator,LG,5,10.0,Heavy,10.7,2,29604,7,5630.29
Laptop,Lenovo,4,3.6,Light,4.4,2,56582,8,500.0
TV,LG,4,8.8,Light,9.600000000000001,1,76810,2,24323.17
Smartphone,Apple,4,3.0,Heavy,3.5,5,108656,5,500.0
Refrigerator,Godrej,5,8.2,Light,9.2,1,64530,3,17395.04
Washing Machine,Whirlpool,5,12.0,Moderate,12.9,5,27102,4,18698.28
Washing Machine,Whirlpool,1,14.5,Light,14.7,2,20462,10,3598.25
Smartwatch,Apple,3,2.8,Moderate,3.3,1,25933,8,500.0
Laptop,Acer,4,6.2,Light,7.0,1,124282,1,42610.97
Refrigerator,LG,3,11.4,Heavy,11.7,4,31586,10,3901.01
Smartwatch,Apple,5,2.3,Light,3.3,5,45996,2,18119.64
Refrigerator,Whirlpool,1,10.6,Light,10.799999999999999,3,40244,6,12520.36
Tablet,Samsung,5,4.6,Moderate,5.5,2,44367,10,500.0
Smartphone,Apple,4,4.3,Moderate,5.0,2,55599,8,500.0
Washing Machine,Bosch,1,14.0,Light,14.2,3,39789,8,12160.86
Washing Machine,Whirlpool,1,12.6,Heavy,12.499999999999998,5,58165,5,34899.0
Refrigerator,Bosch,1,10.4,Heavy,10.299999999999999,5,74522,3,52816.56
Laptop,Asus,1,3.7,Heavy,3.6000000000000005,3,91963,7,500.0
Smartphone,Xiaomi,4,3.8,Heavy,4.3,3,97587,4,4765.88
Smartphone,Vivo,3,3.3,Moderate,3.8,3,73344,4,500.0
Smartphone,Samsung,3,4.3,Heavy,4.6000000000000005,5,81019,3,28180.52
Washing Machine,Samsung,2,14.5,Heavy,14.6,4,32129,2,23568.6
Refrigerator,Bosch,1,8.1,Light,8.299999999999999,5,71981,8,2601.72
Washing Machine,LG,4,9.6,Moderate,10.3,3,45840,9,4049.94
Tablet,Lenovo,4,5.6,Moderate,6.3,5,48409,8,500.0
Smartwatch,Boat,4,4.8,Moderate,5.5,4,32584,4,7553.56
Laptop,Apple,3,6.4,Light,7.0,1,44129,7,500.0
Smartphone,Realme,5,3.6,Moderate,4.5,2,31636,1,13533.18
Laptop,HP,1,4.4,Light,4.6000000000000005,4,142053,5,500.0
Smartphone,Realme,3,4.2,Moderate,4.700000000000001,2,86544,9,500.0
TV,Samsung,4,12.0,Light,12.8,4,151366,7,58299.56
Tablet,Samsung,3,4.4,Light,5.0,1,21631,10,500.0
Smartwatch,Boat,5,4.0,Heavy,4.7,3,20396,8,500.0
Refrigerator,LG,2,10.0,Heavy,10.1,1,20245,5,4089.09
TV,LG,2,9.4,Moderate,9.700000000000001,3,165268,4,67981.37
Laptop,Acer,4,5.6,Heavy,6.1,4,63163,7,500.0
Laptop,HP,5,3.7,Light,4.7,5,49890,10,500.0
TV,OnePlus,4,14.0,Moderate,14.700000000000001,1,17782,1,6628.94
Washing Machine,Samsung,5,13.6,Moderate,14.5,1,19514,7,4037.38
TV,Sony,3,14.6,Light,15.2,1,80216,5,21531.66
Laptop,Dell,2,4.1,Heavy,4.2,4,104624,10,500.0
Refrigerator,LG,4,14.9,Light,15.700000000000001,1,43192,10,6272.47
Washing Machine,LG,5,13.0,Moderate,13.9,5,24221,5,15508.41
Washing Machine,Bosch,4,8.1,Light,8.9,3,22849,1,14197.19
Tablet,Huawei,5,6.8,Light,7.8,1,74234,5,10659.24
Laptop,Lenovo,3,5.8,Light,6.4,2,96711,9,500.0
TV,Sony,4,13.4,Light,14.200000000000001,2,174313,10,28356.55
TV,Samsung,3,9.3,Heavy,9.6,3,129781,8,15141.12
Laptop,Asus,4,7.0,Light,7.8,2,124226,2,50805.25
Washing Machine,IFB,2,12.7,Moderate,13.0,5,40225,1,37130.77
Refrigerator,Bosch,1,12.4,Moderate,12.5,3,67614,9,13252.34
Smartwatch,Samsung,3,4.3,Light,4.9,5,9878,5,500.0
Refrigerator,Godrej,3,10.4,Light,11.0,5,29355,5,16011.82
Laptop,Dell,5,6.5,Moderate,7.4,1,36073,6,2729.85
Smartphone,Apple,2,3.7,Light,4.1000000000000005,5,25812,3,6925.17
Washing Machine,IFB,1,10.4,Heavy,10.299999999999999,4,49043,2,33592.07
Smartwatch,Boat,4,4.5,Moderate,5.2,5,7980,4,1841.54
Smartphone,Samsung,1,2.1,Light,2.3000000000000003,5,66354,7,500.0
Tablet,Samsung,5,6.1,Heavy,6.8,4,12993,1,9419.92
Washing Machine,Bosch,1,13.0,Light,13.2,5,38248,6,20862.55
Tablet,Samsung,2,3.7,Light,4.1000000000000005,2,15730,4,500.0
Smartphone,Apple,4,2.5,Heavy,3.0,1,32378,8,500.0
Laptop,Asus,4,5.9,Heavy,6.4,2,90389,8,500.0
Refrigerator,Bosch,2,9.4,Heavy,9.5,2,40614,7,5878.34
Smartphone,Realme,1,2.1,Heavy,2.0000000000000004,5,66315,4,500.0
Smartphone,OnePlus,1,4.0,Moderate,4.1000000000000005,5,48745,6,500.0
Refrigerator,Whirlpool,3,14.6,Heavy,14.899999999999999,2,54015,10,9769.83
Washing Machine,LG,1,14.5,Light,14.7,4,19921,9,6565.8
TV,TCL,4,14.3,Light,15.100000000000001,4,76315,6,39092.49
Washing Machine,Bosch,4,10.2,Moderate,10.9,1,49306,7,7056.64
Laptop,Lenovo,3,5.3,Light,5.9,4,115821,2,65075.7
TV,Sony,2,14.4,Heavy,14.5,3,119061,8,37360.52
Refrigerator,LG,5,11.3,Light,12.3,5,21439,5,12723.96
Refrigerator,Whirlpool,2,11.6,Light,12.0,5,69307,7,28877.92
Tablet,Lenovo,3,6.3,Moderate,6.800000000000001,1,51897,7,500.0
Refrigerator,Whirlpool,1,10.6,Light,10.799999999999999,5,73302,7,25791.44
Smartphone,Xiaomi,2,4.6,Light,5.0,1,58129,5,500.0
Smartwatch,Boat,4,2.4,Moderate,3.1,1,18425,3,500.0
Washing Machine,Samsung,4,11.5,Moderate,12.200000000000001,1,33041,3,9966.47
Smartwatch,Amazfit,5,3.2,Heavy,3.9000000000000004,4,43077,8,500.0
Smartwatch,Noise,1,4.5,Light,4.7,1,37773,1,11894.48
Smartwatch,Boat,2,2.9,Light,3.3,5,16517,1,11511.85
Smartwatch,Boat,2,4.0,Moderate,4.300000000000001,3,42552,4,2078.12
Smartphone,Vivo,1,3.8,Light,4.0,1,62600,7,500.0
Tablet,Huawei,4,3.9,Moderate,4.6000000000000005,3,13045,10,500.0
Refrigerator,Godrej,3,9.3,Light,9.9,2,61945,4,20304.19
Smartphone,Apple,2,2.6,Light,3.0,5,94605,6,500.0
Laptop,Lenovo,5,6.7,Moderate,7.6000000000000005,3,92242,4,30585.51
Smartphone,Realme,1,3.3,Light,3.5,2,73500,2,17325.0
Refrigerator,Whirlpool,4,11.9,Heavy,12.4,2,61092,10,6503.34
Tablet,Lenovo,1,5.4,Moderate,5.500000000000001,4,19115,2,10339.48
Smartwatch,Noise,1,3.0,Light,3.2,2,14308,7,500.0
Washing Machine,Whirlpool,4,14.5,Heavy,15.0,3,17868,1,11673.76
TV,Sony,2,9.5,Light,9.9,2,190206,6,41211.3
Laptop,Acer,1,4.0,Light,4.2,2,139791,10,500.0
TV,TCL,2,11.4,Heavy,11.5,4,124830,2,87652.37
Refrigerator,Whirlpool,4,13.2,Moderate,13.9,2,32903,1,16794.73
Laptop,Asus,3,6.1,Light,6.699999999999999,2,105781,1,49496.04
Smartphone,Xiaomi,2,3.5,Light,3.9,4,117565,4,500.0
Laptop,Acer,1,4.8,Moderate,4.9,1,72975,4,5361.43
Laptop,HP,3,5.0,Light,5.6,4,111401,2,60872.69
Smartwatch,Boat,4,3.0,Heavy,3.5,5,9015,3,1287.86
Washing Machine,Samsung,2,10.3,Moderate,10.600000000000001,5,43001,10,2434.02
Refrigerator,Samsung,2,13.0,Light,13.4,2,29379,8,6511.61
Laptop,Dell,5,3.8,Moderate,4.7,1,113922,5,500.0
Tablet,Lenovo,1,5.6,Moderate,5.7,5,31638,5,3885.37
Tablet,Huawei,4,6.0,Heavy,6.5,2,34395,4,7275.87
Refrigerator,Godrej,1,8.6,Heavy,8.499999999999998,2,51752,10,500.0
TV,OnePlus,4,14.3,Light,15.100000000000001,5,135852,3,108861.54
Tablet,Samsung,3,6.1,Heavy,6.3999999999999995,3,53201,2,25602.98
Smartphone,OnePlus,1,2.6,Light,2.8000000000000003,5,76954,4,500.0
Smartwatch,Boat,4,3.2,Heavy,3.7,5,31405,4,500.0
Smartphone,OnePlus,1,4.9,Light,5.1000000000000005,5,32943,7,500.0
Smartwatch,Amazfit,1,2.5,Moderate,2.6,1,30289,9,500.0
Tablet,Samsung,1,5.0,Heavy,4.9,3,26219,5,500.0
TV,TCL,2,13.4,Light,13.8,2,95544,8,22085.9
Washing Machine,IFB,2,10.6,Light,11.0,5,22959,10,2087.18
Tablet,Lenovo,5,4.4,Light,5.4,5,24229,6,500.0
Washing Machine,Samsung,4,13.0,Moderate,13.700000000000001,5,33040,6,18569.93
Smartphone,Realme,2,4.2,Light,4.6000000000000005,4,20204,6,500.0
TV,Samsung,1,14.8,Heavy,14.7,1,46249,4,13465.7
TV,Samsung,2,10.3,Light,10.700000000000001,4,117559,7,34553.56
Refrigerator,Godrej,5,13.2,Heavy,13.899999999999999,4,73422,1,57918.87
TV,Samsung,5,12.8,Heavy,13.5,3,39933,10,7247.1
Smartphone,Samsung,5,3.4,Light,4.4,4,28809,5,500.0
TV,Sony,1,10.6,Moderate,10.7,1,103992,6,18271.49
Smartphone,OnePlus,5,3.8,Light,4.8,5,30859,8,500.0
TV,TCL,5,13.8,Heavy,14.5,1,137748,6,32299.53
TV,TCL,5,10.3,Light,11.3,1,124107,9,10104.29
Smartphone,Apple,4,3.8,Heavy,4.3,2,72538,4,2783.43
TV,LG,1,14.9,Moderate,15.0,4,58927,2,43409.56
Smartwatch,Apple,1,2.0,Heavy,1.9000000000000001,2,14311,4,500.0
Smartphone,OnePlus,4,3.5,Heavy,4.0,2,74908,8,500.0
TV,OnePlus,4,12.5,Heavy,13.0,2,151738,7,38518.11
TV,OnePlus,1,14.8,Moderate,14.9,5,149267,8,69123.64
Smartphone,Samsung,1,3.1,Heavy,3.0000000000000004,1,118842,10,500.0
Refrigerator,Whirlpool,4,14.1,Moderate,14.8,1,66463,10,8622.23
Smartphone,Samsung,1,2.5,Moderate,2.6,1,8868,1,2182.89
Smartwatch,Boat,5,3.3,Moderate,4.2,1,22443,10,500.0
TV,Samsung,1,11.2,Heavy,11.099999999999998,5,21349,9,4039.0
TV,Sony,2,14.2,Moderate,14.5,3,197163,9,52350.18
Washing Machine,Bosch,1,8.8,Light,9.0,2,20028,3,7343.6
Smartphone,OnePlus,3,3.7,Moderate,4.200000000000001,1,25773,7,500.0
TV,LG,1,11.0,Moderate,11.1,5,186412,7,68854.88
Tablet,Samsung,5,3.9,Heavy,4.6000000000000005,2,10096,1,4345.67
Refrigerator,Samsung,3,12.8,Moderate,13.3,1,46768,9,6048.19
Refrigerator,Bosch,1,13.7,Heavy,13.599999999999998,1,26992,1,10002.92
Laptop,Dell,2,6.5,Heavy,6.6000000000000005,4,58769,6,4541.24
Laptop,Lenovo,5,5.2,Moderate,6.1000000000000005,1,62312,5,4494.64
Smartphone,Realme,5,3.5,Light,4.5,2,53997,1,23098.72
Refrigerator,Godrej,5,13.4,Heavy,14.1,5,76622,4,54885.26
Refrigerator,Bosch,1,9.8,Heavy,9.7,4,77298,1,58929.76
Laptop,Asus,2,4.6,Moderate,4.9,3,117363,2,48621.81
Washing Machine,IFB,1,8.6,Moderate,8.7,5,54051,5,22987.21
Tablet,Apple,2,4.7,Moderate,5.000000000000001,4,27448,8,500.0
Smartwatch,Boat,3,4.7,Heavy,5.000000000000001,1,16315,9,500.0
Refrigerator,Godrej,2,9.2,Light,9.6,5,42897,10,500.0
Washing Machine,Bosch,3,11.7,Heavy,11.999999999999998,5,20603,1,18886.08
Washing Machine,LG,3,11.7,Heavy,11.999999999999998,2,24899,9,3423.61
Smartphone,OnePlus,5,3.7,Moderate,4.6000000000000005,4,94120,6,500.0
Smartwatch,Apple,1,2.4,Light,2.6,3,7876,8,500.0
TV,TCL,5,12.1,Moderate,13.0,3,26706,5,11504.12
TV,OnePlus,5,14.1,Heavy,14.799999999999999,2,131000,6,42840.54
Laptop,Lenovo,1,6.8,Light,7.0,2,85185,1,40158.64
Refrigerator,Whirlpool,2,12.9,Heavy,13.0,1,22309,2,7550.74
Tablet,Samsung,2,6.5,Moderate,6.800000000000001,4,57003,7,500.0
TV,Sony,3,12.2,Heavy,12.499999999999998,2,86585,6,24763.31
Tablet,Huawei,4,4.5,Heavy,5.0,2,75745,8,500.0
Tablet,Samsung,2,5.2,Light,5.6000000000000005,2,41108,6,500.0
Washing Machine,LG,4,11.8,Light,12.600000000000001,1,50301,3,15329.83
Smartwatch,Boat,3,2.8,Heavy,3.1,5,43929,5,500.0
TV,TCL,3,15.0,Moderate,15.5,4,96100,9,34255.0
Smartwatch,Apple,5,4.4,Moderate,5.300000000000001,2,8080,6,500.0
Smartphone,Vivo,3,3.5,Heavy,3.8,5,75908,9,500.0
Tablet,Lenovo,3,6.0,Moderate,6.5,4,45382,10,500.0
Smartwatch,Apple,5,2.0,Heavy,2.7,3,12077,7,500.0
Smartphone,OnePlus,1,4.2,Moderate,4.300000000000001,2,109152,5,500.0
Smartwatch,Samsung,2,3.7,Moderate,4.000000000000001,4,37614,2,15985.95
Smartphone,Xiaomi,5,4.7,Light,5.7,5,42449,3,20107.42
TV,OnePlus,1,10.7,Heavy,10.599999999999998,1,185466,7,25195.38
Washing Machine,Whirlpool,2,10.2,Moderate,10.5,4,21382,9,2596.39
Refrigerator,Godrej,4,9.5,Heavy,10.0,4,46639,9,3964.31
Washing Machine,IFB,2,11.1,Heavy,11.2,4,56057,4,30631.15
Tablet,Samsung,5,6.1,Moderate,7.0,2,23593,6,1853.74
Smartwatch,Boat,4,2.8,Light,3.5999999999999996,5,10650,5,500.0
Smartwatch,Apple,1,4.2,Heavy,4.1000000000000005,4,5932,9,500.0
Refrigerator,Whirlpool,4,8.7,Heavy,9.2,1,40845,10,500.0
Smartwatch,Boat,5,4.9,Light,5.9,4,46209,1,32620.42
Smartwatch,Boat,4,4.5,Light,5.3,2,32793,4,4423.96
Washing Machine,LG,1,8.7,Light,8.899999999999999,2,21258,2,9064.51
Smartphone,Realme,5,2.7,Light,3.7,1,101912,9,500.0
Smartwatch,Noise,3,2.9,Light,3.5,2,26318,5,500.0
Smartwatch,Apple,5,4.0,Heavy,4.7,5,38696,2,22229.62
Smartwatch,Noise,2,4.5,Moderate,4.800000000000001,3,40980,7,500.0
Laptop,HP,4,3.7,Moderate,4.4,2,78112,1,33197.6
Tablet,Apple,2,6.5,Moderate,6.800000000000001,3,24337,5,4509.5
TV,TCL,1,14.6,Heavy,14.499999999999998,1,46943,5,12302.3
Washing Machine,Whirlpool,2,13.4,Heavy,13.5,1,54819,9,7309.2
Tablet,Apple,5,6.6,Moderate,7.5,4,47307,2,29488.03
Smartwatch,Apple,3,2.8,Light,3.4,2,36155,3,2339.44
Washing Machine,IFB,2,9.3,Moderate,9.600000000000001,1,48165,9,1204.13
Smartphone,Apple,2,2.4,Heavy,2.5,1,58949,9,500.0
Washing Machine,Bosch,1,9.9,Heavy,9.799999999999999,3,51365,1,32286.57
TV,TCL,1,14.8,Moderate,14.9,5,83144,6,49663.19
Smartwatch,Amazfit,3,2.6,Heavy,2.9000000000000004,1,35363,7,500.0
Refrigerator,Samsung,5,13.0,Heavy,13.7,5,45873,5,29131.03
Tablet,Samsung,2,5.9,Heavy,6.000000000000001,3,57993,2,27063.4
Laptop,HP,1,3.9,Moderate,3.9999999999999996,2,55095,3,7575.56
Laptop,Asus,1,6.3,Heavy,6.2,1,51861,4,7360.92
Smartphone,Apple,3,2.6,Moderate,3.1,5,37209,10,500.0
Laptop,Dell,5,6.2,Heavy,6.9,2,60962,4,14091.94
Tablet,Lenovo,1,5.3,Light,5.5,4,18377,4,4260.12
Smartphone,Realme,3,4.6,Moderate,5.1,3,87934,4,13276.31
Laptop,Acer,5,5.9,Heavy,6.6000000000000005,4,30211,4,10116.11
Refrigerator,Samsung,4,14.3,Light,15.100000000000001,1,66829,2,23190.99
Washing Machine,LG,2,9.7,Heavy,9.799999999999999,2,42240,5,11378.94
Washing Machine,IFB,5,8.1,Light,9.1,5,29368,3,19686.24
